epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss_epoch,train_loss_step,val_loss
,2.9999999999999997e-06,2.9999999999999997e-06,0,,,
0,,,0,,10.847970962524414,
0,,,0,,,10.828071594238281
,5.999999999999999e-06,5.999999999999999e-06,1,,,
0,,,1,,10.877328872680664,
0,,,1,,,10.827695846557617
0,,,1,10.862649917602539,,
